server_name, comprised_count, common_isp, common_country,  common_signature
Apache,513, Unified Layer,United States,hacked by XnonGermx
Apache (Debian),180, Total Server Solutions L.L.C.,United States,HackeD By Desert Warriors
nginx,190, Amazon.com,United States,None
Microsoft-IIS/7.0,6, Hostway Corporation,United States,HACKED BY ANONYMOUS ARMENIA
Apache (Ubuntu),115, Amazon.com,United States,None
Apache (Unix),311, A Small Orange LLC,United States,None
IdeaWebServer/0.83.491,13, home.pl S.A.,Poland,Hacked By Ghost Tim Security Army Hackers
Apache (Raspbian),4, Comcast Cable,United States,hacked by temp3 &#8211; Bandung6etar &#8211; Just another WordPress site
Apache (CentOS),32, OVH SAS,United States,None
Apache (Win32),46, PT Telkom Indonesia,Indonesia,Hacked By MR.W4NT3K
Apache (Amazon),19, Amazon.com,United States,None
Microsoft-IIS/6.0,8, Partner Communications,Israel,Hacked By Sipahiler
Nginx Server,1, OVH Hosting,Singapore,Hacked by Mr.Rm19
Apache (centos),7, None,France,hacked by temp3 &#8211; Bandung6etar &#8211; Just another WordPress site
LiteSpeed,34, Hostwinds LLC.,United States,Hacked By Yuba
,3, Handy Networks |  LLC,United States,Hacked By Siyah Muhafiz
None,8, Amazon.com,United States,Play with Docker
Apache (cPanel),19, Continental Broadband Pennsylvania,United States,Hacked By Yıldız Siber Teşkilat
Microsoft-IIS/7.5,6, Alibaba,United States,Hacked By Dr.ViP
Apache (Unix)  (Red-Hat/Linux),2, CSC Administrative Services Limited,United Kingdom,Hacked by Ma3sTr0-Dz
Apache (Win64),16, Logosoft,Indonesia,None
Microsoft-IIS/8.5,4, Tebyan-e-Noor Cultural-Artistic Institute,United States,Hacked by moroccan revolution  Gaza.exe
Apache (Red Hat),1, Netmagic Datacenter Mumbai,India,Hacked by Zero Cool
Microsoft-IIS/5.0,2, Korea Telecom,South Korea,Hacked by R3V0
lighttpd/1.4.45,1, Prometeus di Daniela Agro,Italy,Welcome to hacked by mrcakil | hacked by mrcakil
lighttpd/1.4.53,1, Digi Romania,Romania,HacKed by b3t@.Qu@rK
IdeaWebServer/0.83.489,2, home.pl S.A.,Poland,Hacked By CRAZYC0D3-ID
awex,6, Hostinger International Limited,Netherlands,None
Microsoft-IIS/10.0,7, Z.com,Iran,None
Apache (EL),1, Zayo Bandwidth,United States,Hacked By Fallag GTX
Microsoft-IIS/8.0,7, A Small Orange LLC,United States,None
IceWarp/4.1,1, Spectrum Business,United States,Hacked by b0yz_JbX
Apache (Linux/SUSE),1, Hetzner Online GmbH,Germany,Hacked By Shade
uIP/1.0 http://www.sics.se/~adam/uip/,1, Orange Belgium,Belgium,Hacked By Bala Sniper
IdeaWebServer/0.83.468,2, home.pl S.A.,Poland,Hacked by Error People Squad | Kolejna witryna oparta na WordPressie
lighttpd/1.4.32,3, NTT,Japan,HACKED
Virata-EmWeb/R6_2_1,18, Aristotle University of Thessaloniki,United States,HP LaserJet P2055dn&nbsp;&nbsp;&nbsp;132.177.189.101
Rapid Logic/1.1,3, Consortium GARR,Italy,Inizio pagina - MX-M754N
Mrvl-R1_0,36, Korea Telecom,South Korea,HP LaserJet Professional M1212nf MFP&nbsp;&nbsp;&nbsp;121.181.22.214
Apache (Oracle),1, Telefonica del Sur S.A.,Chile,Own3d By 407 Authentic Exploit
$ProjectRevision: 5.0.1.23 $,1, Digital Systems Ltd,Bulgaria,HP LaserJet Professional M1212nf MFP&nbsp;&nbsp;&nbsp;193.68.20.13
Apache (Fedora),1, RamNode LLC,United States,HELLO!
lighttpd/1.4.28,3, C Spire,United States,None
HP_Compact_Server,1, Consortium GARR,Italy,HP &raquo; Stato periferica
Arroway Data,2, CoreSpace,United States,None
lighttpd,2, New World Telephone,Hong Kong,'+sysName+' - Polycom '+GetCurrentPageName ()+'
lighttpd/1.4.22,1, Smithville Internet,United States,Lost System
Apache (IUS),1, WebARENA,Japan,None
hypercorn-h11,1, IP Ivanov Dmitry Alekseevich,Russia,ass hack
cloudflare,2, Cloudflare,United States,None
Jino.ru/mod_pizza,1, Rostelecom,Russia,None
openresty,1, Linode,United States,None
Microsoft-WinCE/7.00,1, Vodafone Italia DSL,Italy,None
Apache (FreeBSD),1, GMDP Banten,Indonesia,Hack3D by 4LM05TH3V!L
lighttpd/1.4.34,1, Horizonsat FZ LLC,Germany,None
Boa/0.94.13.1,1, Verizon Wireless,United States,p0wn3dd By LastC0de
